"2001:4e8::", "2001:4e8:ffff:ffff:ffff:ffff:ffff:ffff", "42540587672547960676558373916501868544", "42540587751776123190822711510045818879", "CA", "Canada"
"2001:4f0::", "2001:4f0:ffff:ffff:ffff:ffff:ffff:ffff", "42540588306373260790673074664853471232", "42540588385601423304937412258397421567", "US", "United States"
"2001:4f8::", "2001:4f8:ffff:ffff:ffff:ffff:ffff:ffff", "42540588940198560904787775413205073920", "42540589019426723419052113006749024255", "US", "United States"
"2001:500::", "2001:500:4:ffff:ffff:ffff:ffff:ffff", "42540589574023861018902476161556676608", "42540589574029905648000549307430207487", "US", "United States"
"2001:500:6::", "2001:500:f:ffff:ffff:ffff:ffff:ffff", "42540589574031114573820163936604913664", "42540589574043203832016310228351975423", "CA", "Canada"
"2001:500:10::", "2001:500:10:ffff:ffff:ffff:ffff:ffff", "42540589574043203832016310228351975424", "42540589574044412757835924857526681599", "PR", "Puerto Rico"
"2001:500:11::", "2001:500:15:ffff:ffff:ffff:ffff:ffff", "42540589574044412757835924857526681600", "42540589574050457386933998003400212479", "US", "United States"
"2001:500:16::", "2001:500:2c:ffff:ffff:ffff:ffff:ffff", "42540589574050457386933998003400212480", "42540589574078262680785134474418454527", "CA", "Canada"
"2001:500:2d::", "2001:500:31:ffff:ffff:ffff:ffff:ffff", "42540589574078262680785134474418454528", "42540589574084307309883207620291985407", "US", "United States"
"2001:500:40::", "2001:500:56:ffff:ffff:ffff:ffff:ffff", "42540589574101232271357812428737871872", "42540589574129037565208948899756113919", "CA", "Canada"
"2001:500:60::", "2001:500:7d:ffff:ffff:ffff:ffff:ffff", "42540589574139917897585480562328469504", "42540589574176185672173919437569654783", "US", "United States"
"2001:500:80::", "2001:500:83:ffff:ffff:ffff:ffff:ffff", "42540589574178603523813148695919067136", "42540589574183439227091607212617891839", "CA", "Canada"
"2001:500:84::", "2001:500:89:ffff:ffff:ffff:ffff:ffff", "42540589574183439227091607212617891840", "42540589574190692782009294987666128895", "US", "United States"
